 «СМЕРШ.» Х/ф (16+)| «СМЕРШ.» Т/с (16+)
 «Спасатели Малибу» Т/с (16+)| «Спасатели Малибу» Т/с (18+)
 «Жёлтый глаз тигра» Х/ф (16+)| «Жёлтый глаз тигра» Т/с (16+)
 «Про Красную шапочку» Х/ф (12+)| «Про Красную шапочку» Х/ф (6+)
 «Иван Васильевич меняет профессию» Х/ф (12+)| «Иван Васильевич меняет профессию» Х/ф (0+)
 «Про Красную шапочку» Х/ф (6+)| «Про Красную шапочку» Х/ф (0+)
«Куклы наследника Тутти» (16+)|«Куклы наследника Тутти» Т/с (16+)
Ступени цивилизации|Ступени цивилизации
 «Служебный роман» Х/ф (12+)| «Служебный роман» Х/ф (0+)
 «Москва слезам не верит» Х/ф (12+)| «Москва слезам не верит» Х/ф (0+)
 «Служебный роман» Х/ф (12+)| «Служебный роман» Х/ф (0+)
 «Москва слезам не верит» Х/ф (0+)| «Москва слезам не верит» Х/ф (0+)
 «Как устроен мир с Тимофеем Баженовым» (6+)| «Как устроен мир с Тимофеем Баженовым» (0+)
 «Стряпуха» Х/ф (6+)| «Стряпуха» Х/ф (6+)
 «Афоня» Х/ф (16+)| «Афоня» Х/ф (0+)
 «Наш спецназ» Т/с (12+)| «Наш спецназ» Т/с (16+)
 «Непокорная» Т/с (12+)| «Непокорная» Т/с (16+)
«Деревенская девушка» Х/ф|«Деревенская девушка» Х/ф (12+)
 «Женщина в зеркале» Т/с (12+)| «Женщина в зеркале» Т/с (16+)
 «Золотая мина» Х/ф (12+)| «Золотая мина» Х/ф (0+)
Склифосовский (16+)|Склифосовский Т/с (16+)
 «Бриджит Джонс 3» Х/ф (16+)| «Бриджит Джонс 3» Х/ф (18+)
 «Доспехи Бога-3: миссия Зодиак» Х/ф (12+)| «Доспехи Бога-3: миссия Зодиак» Х/ф (6+)
 «Не горюй!» Х/ф (12+)| «Не горюй!» Х/ф (6+)
 «Приключения Петрова и Васечкина. Обыкновенные и невероятные» Х/ф (12+)| «Приключения Петрова и Васечкина. Обыкновенные и невероятные» Х/ф (0+)
 «Каникулы Петрова и Васечкина. Обыкновенные и невероятные» Х/ф (12+)| «Каникулы Петрова и Васечкина. Обыкновенные и невероятные» Х/ф (0+)
 «Гусарская баллада» Х/ф (12+)| «Гусарская баллада» Х/ф (0+)
 «Белорусский вокзал» Х/ф (12+)| «Белорусский вокзал» Х/ф (0+)
 «Белое солнце пустыни» Х/ф (16+)| «Белое солнце пустыни» Х/ф (0+)
 «Бросок кобры 2» Х/ф (16+)| «Бросок кобры 2» Х/ф (18+)
 «А зори здесь тихие» Х/ф (16+)| «А зори здесь тихие» Х/ф (12+)
 «Тонкая грань» Т/с (12+)| «Тонкая грань» Т/с (16+)
 «Спасите Колю!» Х/ф (16+)| «Спасите Колю!» Х/ф (12+)
 «Спасатели Малибу» Т/с (0+)| «Спасатели Малибу» Т/с (18+)
 «Бросок кобры 2» Х/ф (18+)| «Бросок кобры 2» Х/ф (12+)
 «Случай в тайге» Х/ф (12+)| «Случай в тайге» Х/ф (0+)
 «Алешкина любовь» Х/ф (16+)| «Алешкина любовь» Х/ф (12+)
 «Бросок кобры 2» Х/ф (12+)| «Бросок кобры 2» Х/ф (16+)
 «СуперБобровы. Народные мстители» Х/ф (16+)| «СуперБобровы. Народные мстители» Х/ф (6+)
 «СуперБобровы. Народные мстители» Х/ф (6+)| «СуперБобровы. Народные мстители» Х/ф (12+)
 «Куклы наследника Тутти» Х/ф (16+)| «Куклы наследника Тутти» Т/с (16+)
 «Шпион» Т/с (16+)| «Шпион» Х/ф (16+)
«Новости. Подробно» (6+)|«Новости. Подробно»
Ступени Цивилизации|Ступени цивилизации
 «Три плюс два» Х/ф (12+)| «Три плюс два» Х/ф (0+)
 «Ералаш» (0+)| «Ералаш» (6+)
Копи Царя Соломона|копи каря Соломона
  | 
«Перевал Дятлова» Х/ф (16+)| «Перевал Дятлова» Т/с (16+)
 «Несокрушимый» Х/ф (16+)| «Несокрушимый» Х/ф (12+)
 «Жизнь и удивительные приключения Робинзона Крузо» Х/ф (12+)| «Жизнь и удивительные приключения Робинзона Крузо» Х/ф (0+)
 «Небеса обетованные» Х/ф (18+)| «Небеса обетованные» Х/ф (12+)
 «Здравствуйте, я ваша тетя!» Х/ф (12+)| «Здравствуйте, я ваша тетя!» Х/ф (6+)
 «Любить по-русски» Х/ф (16+)| «Любить по-русски» Х/ф (12+)
Ширли-Мырли|Ширли-мырли
 «Калачи» Х/ф (16+)| «Калачи» Х/ф (12+)
21 век|21^sвек
 «Воры в законе» Х/ф (18+)| «Воры в законе» Х/ф (16+)
 «Вариант «Омега» Т/с (16+)| «Вариант «Омега» Т/с (12+)
Время первых|Время Первых
 «Время Первых» Х/ф (16+)| «Время Первых» Х/ф (6+)
 «Пятый элемент» Х/ф (12+)| «Пятый элемент» Х/ф (16+)
 «Лекарь: ученик Авиценны» Х/ф (16+)| «Лекарь: ученик Авиценны» Х/ф (12+)
 «Своя война. Шторм в пустыне» Х/ф (16+)| «Своя война. Шторм в пустыне» Х/ф (12+)
 «Красная королева» Х/ф (18+)| «Красная королева» Т/с (18+)
 «Русалка» Х/ф (16+)| «Русалка» Х/ф (12+)
 «22 минуты» Х/ф (16+)| «22 минуты» Х/ф (12+)
«Дикий ангел» Т/с|«Дикий ангел» Т/с (16+)
«Ты - моя жизнь» Т/с|«Ты - моя жизнь» Т/с (16+)
 «Боевая единичка» Т/с (16+)| «Боевая единичка» Т/с (12+)
Боевая единичка|Боевая Единичка
 «Что делает твоя жена?» Х/ф (12+)| «Что делает твоя жена?» Т/с (12+)
 «Барышня-крестьянка» Х/ф (0+)| «Барышня-крестьянка» Х/ф (6+)
Гори, гори моя звезда|Гори, гори, моя звезда
Аты-Баты, шл|Аты-баты, шл
 «Экипаж» Х/ф (16+)| «Экипаж» Х/ф (6+)
 «Звонят, откройте дверь» Х/ф (12+)| «Звонят, откройте дверь» Х/ф (0+)
 «Девять дней одного года» Х/ф (12+)| «Девять дней одного года» Х/ф (0+)
 «Перевал Дятлова» М/ф (16+)| «Перевал Дятлова» Т/с (16+)
« (|«(
 «22 минуты» Х/ф (12+)| «22 минуты» Х/ф (12+)
Отель для самоубийц|Отель для само-^nубийц
Гори, Гори|Гори, uори
Гори, uори|Гори, гори
«Гори, гори, моя звезда» Х/ф|«Гори, гори, моя звезда» Х/ф (12+)
 «Что делает твоя жена?» Т/с (12+)| «Что делает твоя жена?» Т/с (12+)
 «Не женская работа» Х/ф (12+)| «Не женская работа» Т/с (12+)
 «Меч дракона» Х/ф (16+)| «Меч дракона» Х/ф (18+)
Ставка на Любов|Ставка на любов
 «Калашников» Х/ф (16+)| «Калашников» Х/ф (12+)
 «Спокойный день в конце войны» Х/ф (16+)| «Спокойный день в конце войны» Х/ф (6+)
 «Вертикаль» Х/ф (12+)| «Вертикаль» Х/ф (0+)
 «Десять негритят» Х/ф (16+)| «Десять негритят» Х/ф (12+)
 «Ворошиловский стрелок» Х/ф (18+)| «Ворошиловский стрелок» Х/ф (16+)
Кольская сверхглубокая|Кольская Сверхглубокая
 «Красная королева» Т/с (18+)| «Красная королева» Т/с (16+)
галактики|Галактики
 «Хеллбой» Х/ф (16+)| «Хеллбой» Х/ф (18+)
«Любимая женщина механика Гаврилова» Х/ф|«Любимая женщина механика Гаврилова» Х/ф (12+)
«Послесловие» Х/ф|«Послесловие» Х/ф (12+)
 «Гараж» Х/ф (12+)| «Гараж» Х/ф (0+)
Чемпионат мира|ЧМ
ЧМ- 2022 |ЧМ 2022. 
 «Город грехов 2: Женщина, ради которой стоит убивать» Х/ф (18+)| «Город грехов 2: Женщина, ради которой стоит убивать» Х/ф (16+)
 «Чёрная орхидея» Х/ф (16+)| «Чёрная орхидея» Х/ф (18+)
 «Ко мне, Мухтар!» Х/ф (12+)| «Ко мне, Мухтар!» Х/ф (6+)
 «Будьте моим мужем» Х/ф (12+)| «Будьте моим мужем» Х/ф (6+)
 «Тот самый Мюнхгаузен» Х/ф (12+)| «Тот самый Мюнхгаузен» Х/ф (0+)
 «Спортлото-82» Х/ф (12+)| «Спортлото-82» Х/ф (0+)
 «Непрощенный» Х/ф (16+)| «Непрощенный» Х/ф (6+)
